Ticker,Company
001979.SZ,"China Merchants Shekou Industrial Zone Holdings Co., Ltd."
300666.SZ,"Konfoong Materials International Co., Ltd"
000625.SZ,Chongqing Changan Automobile Company Limited
200625.SZ,Chongqing Changan Automobile Company Limited
300548.SZ,"EverProX Technologies Co., Ltd."
300765.SZ,"CSPC Innovation Pharmaceutical Co., Ltd."
300285.SZ,"Shandong Sinocera Functional Material Co., Ltd."
000703.SZ,"Hengyi Petrochemical Co., Ltd."
300567.SZ,"Wuhan Jingce Electronics Group Co., Ltd."
300751.SZ,"Suzhou Maxwell Technologies Co., Ltd."
002428.SZ,"Yunnan Lincang Xinyuan Germanium Industry Co.,LTD"
002625.SZ,"Kuang-Chi Technologies Co., Ltd."
002821.SZ,"Asymchem Laboratories (Tianjin) Co., Ltd."
000933.SZ,Henan Shenhuo Coal Industry and Electricity Power Co. Ltd
002304.SZ,"Jiangsu Yanghe Distillery Co., Ltd."
000021.SZ,"Shenzhen Kaifa Technology Co., Ltd."
000831.SZ,"China Rare Earth Resources And Technology Co., Ltd."
000960.SZ,Yunnan Tin Company Limited
000157.SZ,"Zoomlion Heavy Industry Science and Technology Co., Ltd."
000768.SZ,AVIC Xi'an Aircraft Industry Group Company Ltd.
002532.SZ,"Tianshan Aluminum Group Co.,Ltd"
000636.SZ,"Guangdong Fenghua Advanced Technology (Holding) Co., Ltd."
300136.SZ,"Shenzhen Sunway Communication Co., Ltd."
003031.SZ,"Hebei Sinopack Electronic Technology Co.,Ltd."
300316.SZ,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd."
002436.SZ,"Shenzhen Fastprint Circuit Tech Co.,Ltd."
002185.SZ,"Tianshui Huatian Technology Co., Ltd."
001872.SZ,"China Merchants Port Group Co., Ltd."
201872.SZ,"China Merchants Port Group Co., Ltd."
002064.SZ,"Huafon Chemical Co.,Ltd"
300450.SZ,"Wuxi Lead Intelligent Equipment CO.,LTD."
002414.SZ,"Wuhan Guide Infrared Co., Ltd."
002595.SZ,"Himile Mechanical Science and Technology (Shandong) Co., Ltd"
002812.SZ,"Yunnan Energy New Material (Group) Co., Ltd."
002236.SZ,"Zhejiang Dahua Technology Co., Ltd."
301358.SZ,"Hunan Yuneng New Energy Battery Material Co.,Ltd."
301269.SZ,"Empyrean Technology Co., Ltd."
300390.SZ,"Canmax Technologies Co., Ltd."
300803.SZ,"Beijing Compass Technology Development Co., Ltd."
002484.SZ,Nantong Jianghai Capacitor Co. Ltd.
002850.SZ,"Shenzhen Kedali Industry Co., Ltd."
002920.SZ,"Huizhou Desay SV Automotive Co., Ltd."
002049.SZ,"Unigroup Guoxin Microelectronics Co., Ltd."
300418.SZ,"Kunlun Tech Co., Ltd."
300628.SZ,"Yealink Network Technology Co., Ltd."
002074.SZ,"Gotion High-tech Co.,Ltd."
002636.SZ,Goldenmax International Group Ltd.
301511.SZ,"Jiujiang Defu Technology Co., Limited"
002558.SZ,"Giant Network Group Co., Ltd."
000783.SZ,Changjiang Securities Company Limited
001391.SZ,"Air China Cargo Co., Ltd."
300373.SZ,"Yangzhou Yangjie Electronic Technology Co., Ltd."
001257.SZ,"Luoyang Shenglong Mining Group Co., Ltd."
300454.SZ,Sangfor Technologies Inc.
000963.SZ,"Huadong Medicine Co., Ltd"
301536.SZ,SigmaStar Technology Ltd.
300058.SZ,"BlueFocus Intelligent Communications Group Co., Ltd."
300395.SZ,"Hubei Feilihua Quartz Glass Co., Ltd."
300037.SZ,"Shenzhen Capchem Technology Co., Ltd."
000066.SZ,"China Greatwall Technology Group Co., Ltd."
300782.SZ,Maxscend Microelectronics Company Limited
000893.SZ,"Asia-potash International Investment (Guangzhou)Co.,Ltd."
300570.SZ,"T&S Communications Co.,Ltd."
000596.SZ,"Anhui Gujing Distillery Co., Ltd."
200596.SZ,"Anhui Gujing Distillery Co., Ltd."
301611.SZ,"Suzhou Kematek, Inc."
002203.SZ,"Zhejiang Hailiang Co., Ltd."
000811.SZ,"Moon Environment Technology Co.,Ltd."
002078.SZ,"Shandong Sunpaper Co., Ltd."
001203.SZ,"Dazhong Mining Co., Ltd."
000983.SZ,"Shanxi Coking Coal Energy Group Co., Ltd."
000878.SZ,"Yunnan Copper Co.,Ltd"
301717.SZ,"Chengdu Ultra Pure Applied Materials Co., Ltd."
000039.SZ,"China International Marine Containers (Group) Co., Ltd."
000999.SZ,"China Resources Sanjiu Medical & Pharmaceutical Co., Ltd."
002407.SZ,"Do-Fluoride New Materials Co., Ltd."
300832.SZ,"Shenzhen New Industries Biomedical Engineering Co., Ltd."
301205.SZ,"Linktel Technologies Co., Ltd."
300347.SZ,"Hangzhou Tigermed Consulting Co., Ltd"
002555.SZ,"37 Interactive Entertainment Network Technology Group Co., Ltd."
300979.SZ,Huali Industrial Group Company Limited
300919.SZ,"CNGR Advanced Material Co., Ltd."
002966.SZ,"Bank of Suzhou Co., Ltd."
000987.SZ,"Guangzhou Yuexiu Capital Holdings Group Co., Ltd."
301018.SZ,"Guangdong Shenling Environmental Systems Co., Ltd."
002155.SZ,Hunan Gold Corporation Limited
301236.SZ,"iSoftStone Information Technology (Group) Co., Ltd."
301696.SZ,"Nanchang Sanrui Intelligence Technology Co., Ltd."
002601.SZ,"LB Group Co., Ltd."
002945.SZ,"ChinaLin Securities Co., Ltd"
300001.SZ,"Qingdao TGOOD Electric Co., Ltd."
300346.SZ,"Jiangsu Nata Opto-electronic Material Co., Ltd."
002138.SZ,"Shenzhen Sunlord Electronics Co.,Ltd."
300972.SZ,"Fujian Wanchen Food Group Co., Ltd."
300017.SZ,"Wangsu Science & Technology Co.,Ltd."
000559.SZ,"Wanxiang Qianchao Co.,Ltd."
002129.SZ,"TCL Zhonghuan Renewable Energy Technology Co.,Ltd."
000688.SZ,"GuoCheng Mining CO.,LTD"
301396.SZ,"Glory View Technology Co., Ltd."
002738.SZ,"Sinomine Resource Group Co., Ltd."
301656.SZ,"Suzhou Inovance Automotive Co., Ltd."
