Ticker,Company
1811.HK,"CGN New Energy Holdings Co., Ltd."
0045.HK,"The Hongkong and Shanghai Hotels, Limited"
2553.HK,"Beijing Shougang LanzaTech Technology Co., Ltd."
2145.HK,"Shanghai Chicmax Cosmetic Co., Ltd."
1065.HK,Tianjin Capital Environmental Protection Group Company Limited
0778.HK,Fortune Real Estate Investment Trust
0354.HK,Chinasoft International Limited
0934.HK,Sinopec Kantons Holdings Limited
1779.HK,"LongBio Pharma (Suzhou) Co., Ltd."
2498.HK,"Robosense Technology Co., Ltd"
0805.HK,New Gonow Recreational Vehicles Inc.
1883.HK,CITIC Telecom International Holdings Limited
2603.HK,"Xiamen Jihong Co., Ltd"
3983.HK,China BlueChemical Ltd.
2670.HK,"Beijing Yunji Technology Co., Ltd."
0719.HK,Shandong Xinhua Pharmaceutical Company Limited
3660.HK,"Qfin Holdings, Inc."
2007.HK,Country Garden Holdings Company Limited
6623.HK,Lufax Holding Ltd
1310.HK,HKBN Ltd.
0667.HK,China East Education Holdings Limited
2391.HK,Tuya Inc.
1905.HK,"Haitong Unitrust International Financial Leasing Co., Ltd."
2858.HK,Yixin Group Limited
0517.HK,"COSCO SHIPPING International (Hong Kong) Co., Ltd."
2589.HK,"Auntea Jenny (Shanghai) Industrial Co., Ltd."
2186.HK,Luye Pharma Group Ltd.
2261.HK,"NASN Intelligent Tech (Zhejiang) Co., Ltd."
2506.HK,"Xunfei Healthcare Technology Co., Ltd."
0565.HK,Art Group Holdings Limited
6190.HK,"Bank of Jiujiang Co., Ltd."
0376.HK,Yunfeng Financial Group Limited
2655.HK,"Guoxia Technology Co., Ltd."
1798.HK,"China Datang Corporation Renewable Power Co., Limited"
2362.HK,Jinchuan Group International Resources Co. Ltd
0751.HK,Skyworth Group Limited
9879.HK,Migao Group Holdings Limited
0990.HK,Deep Source Holdings Limited
0553.HK,Nanjing Panda Electronics Company Limited
3788.HK,Hanking Gold International Limited
2657.HK,"Shanghai Forest Cabin Cosmetics Group Co., Ltd."
1609.HK,"Star Sports Medicine Co., Ltd."
9966.HK,Alphamab Oncology
1907.HK,China Risun Group Limited
6715.HK,"Hangzhou Qiandaohu Xunlong Sci-tech Co., Ltd."
1523.HK,Plover Bay Technologies Limited
0086.HK,Sun Hung Kai & Co. Limited
8137.HK,Honbridge Holdings Limited
2643.HK,CaoCao Inc.
0826.HK,Tiangong International Company Limited
3881.HK,CiDi Inc.
3600.HK,Modern Dental Group Limited
3380.HK,Logan Group Company Limited
1349.HK,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co.,Ltd."
2171.HK,CARsgen Therapeutics Holdings Limited
0694.HK,Beijing Capital International Airport Company Limited
2005.HK,SSY Group Limited
3678.HK,"Soho Holly Futures Co., Ltd."
3887.HK,HashKey Holdings Limited
2533.HK,Black Sesame International Holding Limited
9699.HK,"Hangzhou SF Intra-city Industrial Co., Ltd."
0373.HK,Allied Group Limited
2436.HK,LX Technology Group Limited
0460.HK,Sihuan Pharmaceutical Holdings Group Ltd.
0200.HK,Melco International Development Limited
2190.HK,"Zylox-Tonbridge Medical Technology Co., Ltd."
0855.HK,China Water Affairs Group Limited
1313.HK,China Resources Building Materials Technology Holdings Limited
6106.HK,"Shanghai Seer Intelligent Technology Co., Ltd."
6826.HK,"Shanghai Haohai Biological Technology Co., Ltd."
9658.HK,Super Hi International Holding Ltd.
1501.HK,"Shanghai INT Medical Instruments Co., Ltd."
6069.HK,SY Holdings Group Limited
2157.HK,"Lepu Biopharma Co., Ltd."
6110.HK,Topsports International Holdings Limited
2722.HK,"Chongqing Machinery & Electric Co., Ltd."
0071.HK,"Miramar Hotel and Investment Company, Limited"
0570.HK,China Traditional Chinese Medicine Holdings Co. Limited
1478.HK,Q Technology (Group) Company Limited
6871.HK,"Robotphoenix Intelligent Technology Co., Ltd."
3868.HK,Xinyi Energy Holdings Limited
1958.HK,BAIC Motor Corporation Limited
0173.HK,K. Wah International Holdings Limited
1475.HK,Nissin Foods Company Limited
2555.HK,"Sichuan Baicha Baidao Industrial Co., Ltd."
3633.HK,Zhongyu Energy Holdings Limited
7656.HK,"Reconova Technologies Co., Ltd."
0345.HK,Vitasoy International Holdings Limited
7688.HK,"Shanghai Top Numerical Control Technology Co., Ltd."
1757.HK,Global Chinese Business Club
6168.HK,"Zhou Liu Fu Jewellery Co., Ltd."
2558.HK,"Jinshang Bank Co., Ltd."
1302.HK,LifeTech Scientific Corporation
0400.HK,"Ingdan, Inc."
3738.HK,Vobile Group Limited
2256.HK,Abbisko Cayman Limited
0308.HK,China Travel International Investment Hong Kong Limited
2418.HK,"Deewin Tianxia Co., Ltd"
0604.HK,Shenzhen Investment Limited
6687.HK,JST Group Corporation Limited
2652.HK,"CF PharmTech, Inc."
1789.HK,AK Medical Holdings Limited
3316.HK,Binjiang Service Group Co. Ltd.
0568.HK,Shandong Molong Petroleum Machinery Company Limited
0034.HK,Kowloon Development Company Limited
6078.HK,"Hygeia Healthcare Holdings Co., Limited"
1983.HK,"Luzhou Bank Co., Ltd."
3952.HK,"Zhejiang Laifual Drive Co., Ltd."
1951.HK,Jinxin Fertility Group Limited
0775.HK,"CK Life Sciences Int'l., (Holdings) Inc."
0108.HK,SR Medical Technology Company Limited
1921.HK,Dalipal Holdings Limited
0866.HK,China Qinfa Group Limited
2678.HK,Texhong International Group Limited
1448.HK,Fu Shou Yuan International Group Limited
2877.HK,China Shineway Pharmaceutical Group Limited
0588.HK,Beijing North Star Company Limited
0737.HK,Shenzhen Investment Holdings Bay Area Development Company Limited
1052.HK,Yuexiu Transport Infrastructure Limited
9936.HK,Ximei Resources Holding Limited
9893.HK,Pizu Group Holdings Limited
2273.HK,Gushengtang Holdings Limited
1799.HK,"Xinte Energy Co., Ltd."
2339.HK,BeijingWest Industries International Limited
2192.HK,"Medlive Technology Co., Ltd."
1858.HK,"Beijing Chunlizhengda Medical Instruments Co., Ltd."
0119.HK,"Poly Property Group Co., Limited"
2451.HK,Luyuan Group Holding (Cayman) Limited
0215.HK,Hutchison Telecommunications Hong Kong Holdings Limited
0613.HK,Planetree International Development Limited
2575.HK,"Xuanzhu Biopharmaceutical Co., Ltd."
3613.HK,Beijing Tong Ren Tang Chinese Medicine Company Limited
1184.HK,S.A.S. Dragon Holdings Limited
1763.HK,China Isotope & Radiation Corporation
0315.HK,SmarTone Telecommunications Holdings Limited
0819.HK,Tianneng Power International Limited
2718.HK,Mininglamp Technology
2659.HK,"Shanghai Bao Pharmaceuticals Co., Ltd."
1021.HK,"Guangdong Huayan Robotics Co., Ltd."
0839.HK,China Education Group Holdings Limited
9890.HK,Tanwan Inc.
1691.HK,JS Global Lifestyle Company Limited
9678.HK,"Unisound AI Technology Co., Ltd."
0028.HK,Tian An China Investments Company Limited
1610.HK,COFCO Joycome Foods Limited
0062.HK,Transport International Holdings Limited
2597.HK,"Beijing Xunzhong Communication Technology Co., Ltd."
1333.HK,"Breton Technology Co., Ltd."
2172.HK,MicroPort NeuroScientific Corporation
9676.HK,"Shiyue Daotian Group Co., Ltd."
1896.HK,Maoyan Entertainment
0258.HK,Tomson Group Limited
2291.HK,"LEPU ScienTech Medical Technology (Shanghai) Co., Ltd."
1167.HK,"Jacobio Pharmaceuticals Group Co., Ltd."
2373.HK,Beauty Farm Medical and Health Industry Inc.
6915.HK,Jiangxi Institute of Biological Products Inc.
2583.HK,"Shenzhen Hipine Precision Technology Co., Ltd."
0187.HK,Beijing Jingcheng Machinery Electric Company Limited
6686.HK,Noah Holdings Limited
1224.HK,C C Land Holdings Limited
9878.HK,"Huitongda Network Co., Ltd."
1812.HK,Shandong Chenming Paper Holdings Limited
3833.HK,"Xinjiang Xinxin Mining Industry Co., Ltd."
0695.HK,Dongwu Cement International Limited
0327.HK,PAX Global Technology Limited
1809.HK,Prinx Chengshan Holdings Limited
9993.HK,Radiance Holdings (Group) Company Limited
9959.HK,Linklogis Inc.
2402.HK,"Beijing SinoHytec Co., Ltd."
1223.HK,Symphony Holdings Limited
1126.HK,Dream International Limited
2517.HK,"Guoquan Food (Shanghai) Co., Ltd."
1477.HK,Ocumension Therapeutics
0232.HK,Continental Aerospace Technologies Holding Limited
0662.HK,Asia Financial Holdings Limited
0895.HK,Dongjiang Environmental Company Limited
0585.HK,Imagi International Holdings Limited
2909.HK,Imagi International Holdings Limited
1405.HK,DPC Dash Ltd
3378.HK,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd."
0581.HK,China Oriental Group Company Limited
2617.HK,"TransThera Sciences (Nanjing), Inc."
1666.HK,Tong Ren Tang Technologies Co. Ltd.
2198.HK,China Sanjiang Fine Chemicals Company Limited
2013.HK,Weimob Inc.
2598.HK,"Lianlian DigiTech Co., Ltd."
0777.HK,NetDragon Websoft Holdings Limited
2270.HK,"Desun Real Estate Investment Services Group Co., Ltd."
2635.HK,"Nuobikan Artificial Intelligence Technology (Chengdu) Co., Ltd."
2422.HK,"Rego Interactive Co., Ltd"
2609.HK,Bayzed Health Group Inc
1050.HK,Karrie International Holdings Limited
1675.HK,AsiaInfo Technologies Limited
1205.HK,CITIC Resources Holdings Limited
1857.HK,China Everbright Water Limited
7630.HK,"IMPACT Therapeutics, Inc"
1571.HK,Xin Point Holdings Limited
6831.HK,Green Tea Group Limited
8395.HK,ZXZN Qi-House Holdings Limited
6683.HK,Star Plus Legend Holdings Limited
2158.HK,Yidu Tech Inc.
2586.HK,Dmall Inc.
0435.HK,Sunlight Real Estate Investment Trust
1108.HK,Triumph New Energy Company Limited
0900.HK,AEON Credit Service (Asia) Company Limited
0289.HK,Wing On Company International Limited
1234.HK,China Lilang Limited
2509.HK,"Qyuns Therapeutics Co., Ltd."
3382.HK,Tianjin Port Development Holdings Limited
9996.HK,Peijia Medical Limited
1770.HK,DKE Holding Company Limited
0746.HK,Lee & Man Chemical Company Limited
6090.HK,Butong Group
0806.HK,Value Partners Group Limited
2156.HK,C&D Property Management Group Co. Limited
1780.HK,Rongzun International Holdings Group Limited
2629.HK,Mirxes Holding Company Limited
9979.HK,Greentown Management Holdings Company Limited
2139.HK,"Bank of Gansu Co., Ltd."
1916.HK,"Jiangxi Bank Co., Ltd."
0799.HK,IGG Inc
1051.HK,G-Resources Group Limited
0412.HK,Shandong Hi-Speed Holdings Group Limited
1837.HK,Natural Food International Holding Limited
9929.HK,SEM Holdings Limited
0468.HK,Greatview Aseptic Packaging Company Limited
3990.HK,Midea Real Estate Holding Limited
0405.HK,Yuexiu Real Estate Investment Trust
3709.HK,EEKA Fashion Holdings Limited
2656.HK,160 Health International Limited
6132.HK,"HJ Science Co., Ltd."
9963.HK,Transtech Optelecom Science Holdings Limited
1576.HK,Qilu Expressway Company Limited
6138.HK,"Harbin Bank Co., Ltd."
1785.HK,"Chengdu Expressway Co., Ltd."
1515.HK,China Resources Medical Holdings Company Limited
1417.HK,Riverine China Holdings Limited
6960.HK,"Shuangdeng Group Co., Ltd."
6657.HK,"Baiwang Co., Ltd."
6805.HK,Kimou Environmental Holding Limited
2479.HK,"Tianju Dihe (Suzhou) Data Co., Ltd."
1476.HK,"Financial Street Securities Co., Limited"
0272.HK,Shui On Land Limited
1872.HK,Guan Chao Holdings Limited
1873.HK,Viva Biotech Holdings
6929.HK,OrbusNeich Medical Group Holdings Limited
1272.HK,"Datang Environment Industry Group Co., Ltd."
0051.HK,Harbour Centre Development Limited
0301.HK,SANVO Fine Chemicals Group Limited
0933.HK,Viva Goods Company Limited
0710.HK,BOE Varitronix Limited
2199.HK,Regina Miracle International (Holdings) Limited
2650.HK,"Shanghai Zhida Technology Development Co., Ltd."
0167.HK,IDT International Limited
2720.HK,Ridge Outdoor International Limited
0199.HK,ITC Properties Group Limited
0693.HK,Tan Chong International Limited
2255.HK,Haichang Ocean Park Holdings Ltd.
3880.HK,Medtide Inc.
1875.HK,BioDlink International Company Limited
2576.HK,"Zhejiang Taimei Medical Technology Co., Ltd."
1300.HK,Trigiant Group Limited
2179.HK,"Jiangsu Recbio Technology Co., Ltd."
1995.HK,Ever Sunshine Services Group Limited
0661.HK,China Daye Non-Ferrous Metals Mining Limited
6601.HK,Cheerwin Group Limited
2235.HK,"MicroTech Medical (Hangzhou) Co., Ltd."
2665.HK,Seyond Holdings Ltd.
1497.HK,"Xiamen Yan Palace Bird's Nest Industry Co., Ltd."
1851.HK,China Gingko Education Group Company Limited
6998.HK,Edding Genor Group Holdings Limited
9877.HK,"Jenscare Scientific Co., Ltd."
2520.HK,"Shanxi Installation Group Co., Ltd."
1432.HK,China Shengmu Organic Milk Limited
0861.HK,Digital China Holdings Limited
0341.HK,Café de Coral Holdings Limited
0178.HK,Sa Sa International Holdings Limited
6626.HK,Yuexiu Services Group Limited
2197.HK,"Clover Biopharmaceuticals, Ltd."
0368.HK,Superland Group Holdings Limited
0259.HK,Yeebo (International Holdings) Limited
1970.HK,"IMAX China Holding, Inc."
8299.HK,GT Gold Holdings Limited
2488.HK,Launch Tech Company Limited
6868.HK,Tenfu (Cayman) Holdings Company Limited
0752.HK,Pico Far East Holdings Limited
1028.HK,C.banner International Holdings Limited
1848.HK,China Aircraft Leasing Group Holdings Limited
3318.HK,China Boton Group Company Limited
0032.HK,The Cross-Harbour (Holdings) Limited
3636.HK,"Yunnan Jinxun Resources Co., Ltd."
2111.HK,Best Pacific International Holdings Limited
0596.HK,Inspur Digital Enterprise Technology Limited
2411.HK,Shenzhen Pagoda Industrial (Group) Corporation Limited
2668.HK,Pak Tak International Limited
1104.HK,APAC Resources Limited
6883.HK,Eternal Beauty Holdings Limited
0369.HK,Wing Tai Properties Limited
6996.HK,Antengene Corporation Limited
1250.HK,Shandong Hi-Speed New Energy Group Limited
0026.HK,"China Motor Bus Company, Limited"
0411.HK,Lam Soon (Hong Kong) Limited
2105.HK,"Laekna, Inc."
2408.HK,"Guangzhou Xiao Noodles Catering Management Co., Ltd."
0917.HK,Qunabox Group Limited
0743.HK,Asia Cement (China) Holdings Corporation
2480.HK,"Beijing Luzhu Biotechnology Co., Ltd."
3319.HK,"A-Living Smart City Services Co., Ltd."
6980.HK,"BAMA TEA Co., Ltd."
0918.HK,Majestic Dragon AeroTech Holdings Limited
2552.HK,Hua Medicine (Shanghai) Ltd.
0931.HK,China HK Power Smart Energy Group Limited
1516.HK,Sunac Services Holdings Limited
9860.HK,Adicon Holdings Limited
1345.HK,Shanghai Pioneer Holding Ltd
0807.HK,SIIC Environment Holdings Ltd.
1600.HK,Tian Lun Gas Holdings Limited
6058.HK,China Industrial Securities International Financial Group Limited
2490.HK,"LC Logistics, Inc."
2410.HK,"TYK Medicines, Inc"
2450.HK,"Huaibei GreenGold Industry Investment Co., Ltd."
1815.HK,Mount Everest Gold Group Company Limited
0357.HK,Hainan Meilan International Airport Company Limited
1458.HK,Zhou Hei Ya International Holdings Company Limited
1521.HK,Frontage Holdings Corporation
0732.HK,Truly International Holdings Limited
1755.HK,"S-Enjoy Service Group Co., Limited"
1959.HK,Zhong Ju Investment Group Limited
6608.HK,Bairong AI Inc.
3336.HK,Ju Teng International Holdings Limited
2295.HK,Maxicity Holdings Limited
1168.HK,Z Fin Limited
0797.HK,7Road Holdings Limited
6955.HK,"Shandong Boan Biotechnology Co., Ltd."
1948.HK,Uju Holding Limited
0113.HK,Dickson Concepts (International) Limited
0182.HK,Concord New Energy Group Limited
9930.HK,Horizon Construction Development Limited
0808.HK,Prosperity Real Estate Investment Trust
2660.HK,Zengame Technology Holding Limited
0098.HK,Xingfa Aluminium Holdings Limited
1570.HK,Weiye Holdings Limited
1854.HK,China Wantian Holdings Limited
0064.HK,Get Nice Holdings Limited
1773.HK,Tianli International Holdings Limited
9885.HK,YSB Inc.
0331.HK,FSE Lifestyle Services Limited
2565.HK,"PegBio Co., Ltd."
3978.HK,China Beststudy Education Group
0909.HK,Ming Yuan Cloud Group Holdings Limited
2166.HK,Smart-Core Holdings Limited
9913.HK,Chi Kan Holdings Limited
2427.HK,"Guanze Medical Information Industry (Holding) Co., Ltd."
9669.HK,Beisen Holding Limited
0030.HK,YNBY International Limited
1280.HK,China Qidian Guofeng Holdings Limited
2342.HK,Comba Telecom Systems Holdings Limited
3839.HK,CPBIO Holding Company Limited
0882.HK,Tianjin Development Holdings Limited
0887.HK,Emperor Watch & Jewellery Limited
0709.HK,Giordano International Limited
0029.HK,Dynamic Holdings Limited
0580.HK,Sun.King Technology Group Limited
1115.HK,5100 Xizang Glacier Company Limited
0497.HK,CSI Properties Limited
2561.HK,VISEN Pharmaceuticals
2549.HK,Carote Ltd
2409.HK,Seacon Shipping Group Holdings Limited
0521.HK,CWT International Limited
9923.HK,Yeahka Limited
0816.HK,"Jinmao Property Services Co., Limited"
0117.HK,Tianli Holdings Group Limited
0186.HK,Nimble Holdings Company Limited
2489.HK,Persistence Resources Group Ltd
3680.HK,Ruihe Data Technology Holdings Limited
2390.HK,Zhihu Inc.
0434.HK,Boyaa Interactive International Limited
6669.HK,Acotec Scientific Holdings Limited
2121.HK,"AInnovation Technology Group Co., Ltd"
1717.HK,Ausnutria Dairy Corporation Ltd
6889.HK,"DYNAM JAPAN HOLDINGS Co., Ltd."
6681.HK,BrainAurora Medical Technology Limited
1899.HK,Xingda International Holdings Limited
2633.HK,Jacobson Pharma Corporation Limited
2499.HK,"Folangsi Co., Ltd."
2149.HK,"BaTeLab Co., Ltd."
6633.HK,Qingci Games Inc.
1733.HK,E-Commodities Holdings Limited
2191.HK,SF Real Estate Investment Trust
1762.HK,Wanka Online Inc.
1782.HK,International Business Digital Technology Limited
1709.HK,DL Holdings Group Limited
2420.HK,Zibuyu Group Limited
3813.HK,Pou Sheng International (Holdings) Limited
0088.HK,Tai Cheung Holdings Limited
0127.HK,Chinese Estates Holdings Limited
2685.HK,Quantgroup Holding Limited
3700.HK,Inkeverse Group Limited
0035.HK,Far East Consortium International Limited
2302.HK,CNNC International Limited
1009.HK,International Entertainment Corporation
0558.HK,L.K. Technology Holdings Limited
2623.HK,Hong Kong Gold Industry Group Limited
2169.HK,Canggang Railway Limited
2571.HK,"Beijing Saimo Technology Co., Ltd."
1911.HK,China Renaissance Holdings Limited
6660.HK,"AIM Vaccine Co., Ltd."
3337.HK,Anton Oilfield Services Group
6696.HK,Many Idea Cloud Holdings Limited
6051.HK,Youzan Technology Limited
0679.HK,Asia Tele-Net and Technology Corporation Limited
2385.HK,Readboy Education Holding Company Limited
1747.HK,Home Control International Limited
2361.HK,Sinohealth Technology Holdings Limited
0769.HK,China Rare Earth Holdings Limited
2522.HK,"Jiangxi Rimag Group Co., Ltd."
8239.HK,Capital Finance Holdings Limited
0393.HK,Glorious Sun Enterprises Limited
2508.HK,Saint Bella Group Limited
0245.HK,China Vered Financial Holding Corporation Limited
1713.HK,"Sichuan Energy Investment Development Co., Ltd."
1221.HK,Sino Hotels (Holdings) Limited
1656.HK,ISDN Holdings Limited
6609.HK,Shanghai HeartCare Medical Technology Corporation Limited
2521.HK,Shenghui Cleanness Group Holdings Limited
1091.HK,South Manganese Investment Limited
0628.HK,Tong Tong AI Social Group Limited
9869.HK,Helens International Holdings Company Limited
2290.HK,Lung Fung Group Holdings Limited
6063.HK,Lotus Horizon Holdings Limited
0105.HK,Associated International Hotels Limited
0830.HK,China State Construction Development Holdings Limited
1979.HK,Ten Pao Group Holdings Limited
1045.HK,APT Satellite Holdings Limited
0708.HK,China Evergrande New Energy Vehicle Group Limited
0720.HK,Auto Italia Holdings Limited
2416.HK,Edianyun Limited
0085.HK,China Electronics Huada Technology Company Limited
2591.HK,"Guangzhou Innogen Pharmaceutical Group Co., Ltd"
6136.HK,Kangda International Environmental Company Limited
2531.HK,GL-Carlink Technology Holding Limited
1426.HK,Spring Real Estate Investment Trust
1982.HK,Nameson Holdings Limited
0240.HK,Build King Holdings Limited
0335.HK,Upbest Group Limited
0547.HK,Digital Domain Holdings Limited
0050.HK,Hong Kong Ferry (Holdings) Company Limited
6858.HK,Honma Golf Limited
2181.HK,Mabpharm Limited
0658.HK,"China High Speed Transmission Equipment Group Co., Ltd."
2511.HK,"HighTide Therapeutics, Inc."
1890.HK,China Kepei Education Group Limited
0878.HK,Soundwill Holdings Limited
2429.HK,Beijing UBOX Online Technology Corp.
2219.HK,Chaoju Eye Care Holdings Limited
2028.HK,Jolimark Holdings Limited
2309.HK,ZO Future Group
2368.HK,Eagle Nice (International) Holdings Limited
0410.HK,SOHO China Limited
2160.HK,MicroPort CardioFlow Medtech Corporation
0626.HK,Public Financial Holdings Limited
2425.HK,AustAsia Group Ltd.
9881.HK,"Rongta Technology (Xiamen) Group Co., Ltd."
3818.HK,"China Dongxiang (Group) Co., Ltd."
1830.HK,Perfect Medical Health Management Limited
6896.HK,Golden Throat Holdings Group Company Limited
3848.HK,Haosen Fintech Group Limited
1270.HK,Langham Hospitality Investments Limited
2360.HK,Best Mart 360 Holdings Limited
0194.HK,Liu Chong Hing Investment Limited
3816.HK,KFM Kingdom Holdings Limited
0398.HK,Oriental Watch Holdings Limited
2431.HK,"Minieye Technology Co., Ltd"
1940.HK,China Gas Industry Investment Holdings Co. Ltd.
0222.HK,Min Xin Holdings Limited
1257.HK,China Everbright Greentech Limited
0535.HK,Gemdale Properties and Investment Corporation Limited
2306.HK,YH Entertainment Group
1541.HK,ImmuneOnco Biopharmaceuticals (Shanghai) Inc.
3669.HK,China Yongda Automobiles Services Holdings Limited
6667.HK,Mega Genomics Limited
2236.HK,Wison Engineering Services Co. Ltd.
2355.HK,Baoye Group Company Limited
3991.HK,Changhong Jiahua Holdings Limited
1657.HK,SG Group Holdings Limited
9990.HK,Archosaur Games Inc.
2271.HK,Zhong An Intelligent Living Service Limited
9680.HK,Chenqi Technology Limited
2677.HK,Distinct Healthcare Holdings Limited
2519.HK,"AuGroup (SHENZHEN) Cross-Border Business Co., Ltd."
1489.HK,GC Construction Holdings Limited
6169.HK,China YuHua Education Corporation Limited
1200.HK,Midland Holdings Limited
1611.HK,Bitfire Group Holdings Limited
3681.HK,SinoMab BioScience Limited
2161.HK,JBM (Healthcare) Limited
1645.HK,Haina Intelligent Equipment International Holdings Limited
1086.HK,Goodbaby International Holdings Limited
9922.HK,Jiumaojiu International Holdings Limited
0686.HK,"Beijing Energy International Holding Co., Ltd."
9933.HK,GHW International
1588.HK,Chanjet Information Technology Company Limited
0218.HK,Shenwan Hongyuan (H.K.) Limited
9986.HK,Dashan Education Holdings Limited
3658.HK,New Hope Service Holdings Limited
1431.HK,YuanShengTai Dairy Farm Limited
0480.HK,HKR International Limited
3938.HK,LFG Investment Holdings Limited
0031.HK,China Aerospace International Holdings Limited
2886.HK,Binhai Investment Company Limited
2209.HK,YesAsia Holdings Limited
0837.HK,Carpenter Tan Holdings Limited
2348.HK,Dawnrays Pharmaceutical (Holdings) Limited
2651.HK,"Wuhan Dazhong Dental Medical Co., Ltd."
1481.HK,Smart Globe Holdings Limited
0147.HK,International Business Settlement Holdings Limited
0650.HK,Productive Technologies Company Limited
0321.HK,Texwinca Holdings Limited
6811.HK,Tai Hing Group Holdings Limited
2798.HK,Perennial Energy Holdings Limited
0158.HK,Melbourne Enterprises Limited
2383.HK,TOM Group Limited
2587.HK,HealthyWay Inc.
3718.HK,Beijing Enterprises Urban Resources Group Limited
0408.HK,Yip's Chemical Holdings Limited
1728.HK,China ZhengTong Auto Services Holdings Limited
3389.HK,Hengdeli Holdings Limited
1760.HK,Intron Technology Holdings Limited
1568.HK,Sundart Holdings Limited
0025.HK,Chevalier International Holdings Limited
1712.HK,Dragon Mining Limited
1597.HK,China Nature Energy Technology Holdings Limited
0242.HK,Shun Tak Holdings Limited
2535.HK,WK Group (Holdings) Limited
0951.HK,Chaowei Power Holdings Limited
1599.HK,"Beijing Urban Construction Design & Development Group Co., Limited"
3798.HK,Homeland Interactive Technology Ltd.
1526.HK,Rici Healthcare Holdings Limited
6622.HK,Zhaoke Ophthalmology Limited
2512.HK,Cloud Factory Technology Holdings Limited
1122.HK,"Qingling Motors Co., Ltd."
1953.HK,SFQ Global Limited
9616.HK,Neutech Group Limited
1973.HK,"Tian Tu Capital Co., Ltd."
1488.HK,Best Food Holding Company Limited
2789.HK,Yuanda China Holdings Limited
0391.HK,Mei Ah Entertainment Group Limited
0474.HK,Aceso Life Science Group Limited
2570.HK,Shanghai REFIRE Group Limited
0842.HK,Leoch International Technology Limited
9909.HK,Powerlong Commercial Management Holdings Limited
6668.HK,E-Star Commercial Management Company Limited
1020.HK,Ciprun Technology Holdings Company Limited
2563.HK,"Beijing Biostar Pharmaceuticals Co., Ltd."
1977.HK,Analogue Holdings Limited
6603.HK,IFBH Limited
1382.HK,Pacific Textiles Holdings Limited
0306.HK,Kwoon Chung Bus Holdings Limited
3886.HK,Town Health International Medical Group Limited
1943.HK,King's Stone Holdings Group Limited
8049.HK,Jilin Province Huinan Changlong Bio-pharmacy Company Limited
6036.HK,Apex Ace Holding Limited
0527.HK,China Ruifeng Renewable Energy Holdings Limited
2283.HK,TK Group (Holdings) Limited
0691.HK,China Shanshui Cement Group Limited
1358.HK,PW Medtech Group Limited
0838.HK,EVA Precision Industrial Holdings Limited
2175.HK,China General Education Group Limited
1660.HK,Seven Elements Investment Holdings Limited
0305.HK,Wuling Motors Holdings Limited
9991.HK,Baozun Inc.
1061.HK,Essex Bio-Technology Limited
1765.HK,"XJ International Holdings Co., Ltd."
1283.HK,Accel Group Holdings Limited
1601.HK,"Zhongguancun Science-Tech Leasing Co., Ltd."
3329.HK,BOCOM International Holdings Company Limited
1881.HK,Regal Real Estate Investment Trust
8087.HK,China 33 Group Limited
2566.HK,"Hangzhou Jiuyuan Genetic Biopharmaceutical Co., Ltd."
1372.HK,China Carbon Neutral Development Group Limited
2613.HK,"Contiocean Environment Tech Group Co., Ltd."
9609.HK,"Hebei Haiwei Electronic New Material Technology Co., Ltd"
1473.HK,Pangaea Connectivity Technology Limited
1027.HK,Asia Strategy Digit Technology Holdings Limited
0095.HK,LVGEM (China) Real Estate Investment Company Limited
1903.HK,JBB Builders International Limited
0595.HK,AV Concept Holdings Limited
1668.HK,China South City Holdings Limited
9663.HK,"Sino-Synergy Hydrogen Energy Technology (Jiaxing) Co., Ltd."
2150.HK,Nayuki Holdings Limited
1935.HK,JH Educational Technology INC.
2667.HK,"Beijing Tong Ren Tang Healthcare Investment Co., Ltd."
0465.HK,Futong Technology Development Holdings Limited
1231.HK,Newton Resources Ltd
1969.HK,"China Chunlai Education Group Co., Ltd."
2569.HK,Soft International Group Ltd.
2279.HK,"Yonghe Medical Group Co., Ltd."
2543.HK,"Dahon Tech (Shenzhen) Co., Ltd."
1142.HK,E&P Global Holdings Limited
2495.HK,Voicecomm International Limited
2443.HK,Autostreets Development Limited
1463.HK,C-Link Squared Limited
1228.HK,CANbridge Pharmaceuticals Inc.
1503.HK,China Merchants Commercial Real Estate Investment Trust
3989.HK,Capital Environment Holdings Limited
2265.HK,Hongcheng Environmental Technology Company Limited
9908.HK,"JiaXing Gas Group Co., Ltd."
0978.HK,China Merchants Land Limited
1140.HK,HK.AI Capital Limited
1716.HK,Most Kwai Chung Limited
1321.HK,China New City Group Limited
0687.HK,Tysan Holdings Limited
2317.HK,Vedan International (Holdings) Limited
1471.HK,"Zhongmiao Holdings (Qingdao) Co., Ltd."
3893.HK,Crosstec Group Holdings Limited
1450.HK,Be Friends Holding Limited
2001.HK,China New Higher Education Group Limited
2477.HK,"WellCell Holdings Co., Limited"
2399.HK,China Anchu Energy Storage Group Limited
0745.HK,China National Culture Group Limited
1539.HK,Unity Group Holdings International Limited
0563.HK,Shanghai Industrial Urban Development Group Limited
0314.HK,"Sipai Health Technology Co., Ltd."
6100.HK,Tongdao Liepin Group
2582.HK,"Jiangsu Guofu Hydrogen Energy Equipment Co., Ltd."
8115.HK,"Qingda Oriental Group Co., Ltd."
