Ticker,Company
688521.SS,"VeriSilicon Microelectronics (Shanghai) Co., Ltd."
600673.SS,"Guangdong HEC Technology Holding Co., Ltd"
601168.SS,"Western Mining Co.,Ltd."
600795.SS,"GD Power Development Co.,Ltd"
601012.SS,"LONGi Green Energy Technology Co., Ltd."
601727.SS,"Shanghai Electric Group Co., Ltd."
600585.SS,Anhui Conch Cement Company Limited
603228.SS,"Shenzhen Kinwong Electronic Co., Ltd."
600988.SS,Chifeng Jilong Gold Mining Group Limited
601991.SS,"Datang International Power Generation Co., Ltd."
601825.SS,"Shanghai Rural Commercial Bank Co., Ltd."
688271.SS,"Shanghai United Imaging Healthcare Co., Ltd."
605499.SS,"Eastroc Beverage (Group) Co., Ltd."
601127.SS,"Seres Group Co.,Ltd"
600875.SS,Dongfang Electric Corporation Limited
601800.SS,China Communications Construction Company Limited
600549.SS,"Xiamen Tungsten Co.,Ltd."
688126.SS,"National Silicon Industry Group Co., Ltd."
601689.SS,"Ningbo Tuopu Group Co.,Ltd."
600029.SS,China Southern Airlines Company Limited
601669.SS,"Power Construction Corporation of China, Ltd"
688249.SS,Nexchip Semiconductor Corporation
688200.SS,"Beijing Huafeng Test & Control Technology Co.,Ltd."
601838.SS,"Bank of Chengdu Co., Ltd."
688172.SS,"Beijing YanDong MicroElectronic Co., Ltd."
601186.SS,China Railway Construction Corporation Limited
688818.SS,"CETC Lantian Technology Co., Ltd."
600236.SS,"Guangxi Guiguan Electric PowerCo.,Ltd."
600436.SS,"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd."
688396.SS,China Resources Microelectronics Limited
600674.SS,Sichuan Chuantou Energy Co.Ltd
601916.SS,"China Zheshang Bank Co., Ltd"
603893.SS,"Rockchip Electronics Co., Ltd."
603799.SS,"Zhejiang Huayou Cobalt Co., Ltd"
600039.SS,"Sichuan Road & Bridge Group Co.,Ltd"
688037.SS,"KINGSEMI Co., Ltd."
601077.SS,"Chongqing Rural Commercial Bank Co., Ltd."
601958.SS,"Jinduicheng Molybdenum Co., Ltd."
600115.SS,China Eastern Airlines Corporation Limited
603195.SS,"Goneo Group Co., Ltd."
600482.SS,"China Shipbuilding Industry Group Power Co., Ltd."
600958.SS,Orient Securities Company Limited
688002.SS,"Raytron Technology Co.,Ltd."
600118.SS,"China Spacesat Co.,Ltd."
688469.SS,"United Nova Technology Co.,Ltd."
688729.SS,"Beijing E-Town Semiconductor Technology Co., Ltd."
688777.SS,"Supcon Technology Co.,Ltd"
601018.SS,Ningbo Zhoushan Port Company Limited
688313.SS,"Henan Shijia Photons Technology Co., Ltd."
600415.SS,"Zhejiang China Commodities City Group Co., Ltd."
600066.SS,"Yutong Bus Co.,Ltd."
688519.SS,"Nanya New Material Technology Co.,Ltd"
601179.SS,"China XD Electric Co., Ltd"
688036.SS,"Shenzhen Transsion Holdings Co., Ltd."
600023.SS,"Zhejiang Zheneng Electric Power Co., Ltd."
603459.SS,"Jiangxi Redboard Technology Co., Ltd."
603083.SS,"CIG Shanghai Co., Ltd."
601231.SS,"Universal Scientific Industrial (Shanghai) Co., Ltd."
688409.SS,"Shenyang Fortune Precision Equipment Co., Ltd."
600048.SS,"Poly Developments and Holdings Group Co., Ltd."
688629.SS,"Sichuan Huafeng Technology Co., LTD."
601788.SS,Everbright Securities Company Limited
600703.SS,"Sanan Optoelectronics Co.,Ltd"
601233.SS,"Tongkun Group Co., Ltd."
900948.SS,"Inner Mongolia Yitai Coal Co.,Ltd."
601360.SS,360 Security Technology Inc.
600600.SS,Tsingtao Brewery Company Limited
688630.SS,"Circuit Fabology Microelectronics Equipment Co., Ltd."
601061.SS,"CITIC Metal Co., Ltd"
688766.SS,"Puya Semiconductor (Shanghai) Co., Ltd."
600009.SS,"Shanghai International Airport Co., Ltd."
688585.SS,"Swancor Advanced Materials Co., Ltd."
600233.SS,"YTO Express Group Co.,Ltd."
600377.SS,Jiangsu Expressway Company Limited
600105.SS,Jiangsu Etern Company Limited
688809.SS,"Maxone Semiconductor (Suzhou) Co., Ltd."
688331.SS,"RemeGen Co., Ltd."
601901.SS,"Founder Securities Co., Ltd."
600378.SS,"Haohua Chemical Science & Technology Corp., Ltd."
600221.SS,"Hainan Airlines Holding Co., Ltd."
900945.SS,"Hainan Airlines Holding Co., Ltd."
600426.SS,"Shandong Hualu-Hengsheng Chemical Co., Ltd."
600196.SS,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
601298.SS,"Qingdao Port International Co., Ltd."
600219.SS,"Shandong Nanshan Aluminium Co.,Ltd."
600096.SS,"Yunnan Yuntianhua Co., Ltd."
600460.SS,"Hangzhou Silan Microelectronics Co., Ltd."
601607.SS,"Shanghai Pharmaceuticals Holding Co., Ltd"
600292.SS,"SPIC Hydropower Co., Ltd."
601877.SS,"Zhejiang Chint Electrics Co., Ltd."
601059.SS,"Cinda Securities Co., Ltd."
688141.SS,"JoulWatt Technology Co., Ltd."
688187.SS,"Zhuzhou CRRC Times Electric Co., Ltd."
600803.SS,"ENN Natural Gas Co., Ltd."
600498.SS,"Fiberhome Telecommunication Technologies Co., Ltd."
688017.SS,"Leader Harmonious Drive Systems Co., Ltd."
601212.SS,"Baiyin Nonferrous Group Co., Ltd."
603156.SS,"Hebei Yangyuan ZhiHui Beverage Co., Ltd."
600885.SS,"Hongfa Technology Co., Ltd."
688019.SS,"Anji Microelectronics Technology (Shanghai) Co., Ltd."
600601.SS,"Founder Technology Group Co.,Ltd."
600438.SS,"Tongwei Co.,Ltd"
600372.SS,"AVIC Airborne Systems Co., Ltd."
600497.SS,"Yunnan Chihong Zinc & Germanium Co., Ltd."
600350.SS,Shandong Hi-speed Company Limited
688432.SS,"GRINM Semiconductor Materials Co., Ltd."
688147.SS,Jiangsu Leadmicro Nano-Equipment Technology Ltd
600027.SS,Huadian Power International Corporation Limited
601377.SS,"Industrial Securities Co.,Ltd."
603659.SS,"Shanghai Putailai New Energy Technology Group Co.,Ltd."
601699.SS,"Shanxi Lu'an Environmental Energy Development Co., Ltd."
688048.SS,"Suzhou Everbright Photonics Co., Ltd."
688578.SS,"Shanghai Allist Pharmaceuticals Co., Ltd."
603979.SS,"JCHX Mining Management Co.,Ltd."
601618.SS,Metallurgical Corporation of China Ltd.
688110.SS,"Dosilicon Co., Ltd."
688009.SS,China Railway Signal & Communication Corporation Limited
600741.SS,HUAYU Automotive Systems Company Limited
688797.SS,"Chongqing Genori Technology Co., Ltd."
601808.SS,China Oilfield Services Limited
601456.SS,"Guolian Minsheng Securities Co., Ltd."
688234.SS,"SICC Co., Ltd."
688775.SS,Arashi Vision Inc.
600985.SS,"Huaibei Mining Holdings Co.,Ltd."
600418.SS,"Anhui Jianghuai Automobile Group Corp.,Ltd."
600895.SS,"Shanghai Zhangjiang Hi-Tech Park Development Co., Ltd."
688828.SS,"CIQTEK Co., Ltd."
603129.SS,"Zhejiang Cfmoto Power Co.,Ltd"
600879.SS,"China Aerospace Times Electronics CO., LTD."
600580.SS,"Wolong Electric Group Co.,Ltd."
601117.SS,"China National Chemical Engineering Co., Ltd"
688796.SS,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd."
600918.SS,"Zhongtai Securities Co., Ltd."
688548.SS,"Guangzhou Guanggang Gases & Energy Co.,Ltd."
688375.SS,"Guobo Electronics Co., Ltd."
601198.SS,Dongxing Securities Corporation Limited
688223.SS,"Jinko Solar Co., Ltd."
601208.SS,"Sichuan Em Technology Co., Ltd."
688300.SS,Novoray Corporation
601058.SS,"Sailun Group Co., Ltd."
600726.SS,Huadian Energy Company Limited
900937.SS,Huadian Energy Company Limited
601238.SS,"Guangzhou Automobile Group Co., Ltd."
603049.SS,"Zhongce Rubber Group Co., Ltd."
688627.SS,"Shenzhen SEICHI Technologies Co., Ltd."
688387.SS,"CICT Mobile Communication Technology Co., Ltd."
603629.SS,"Jiangsu Lettall Electronic Co.,Ltd"
600206.SS,"Grinm Advanced Materials Co., Ltd."
603087.SS,Gan & Lee Pharmaceuticals.
688536.SS,3Peak Incorporated
601878.SS,"Zheshang Securities Co., Ltd."
601021.SS,"Spring Airlines Co., Ltd."
600909.SS,"Huaan Securities Co., Ltd."
600570.SS,Hundsun Technologies Inc.
600801.SS,"Huaxin Building Materials Group Co., Ltd."
601598.SS,Sinotrans Limited
600061.SS,"SDIC Capital Co.,Ltd"
600845.SS,"Shanghai Baosight Software Co.,Ltd."
900926.SS,"Shanghai Baosight Software Co.,Ltd."
688047.SS,Loongson Technology Corporation Limited
600642.SS,Shenergy Company Limited
600667.SS,Wuxi Taiji Industry Limited Corporation
600352.SS,"Zhejiang Longsheng Group Co.,Ltd"
603699.SS,"Neway Valve (Suzhou) Co., Ltd."
600392.SS,"Shenghe Resources Holding Co., Ltd"
688433.SS,"Farsoon Technologies Co., Ltd."
601665.SS,"Qilu Bank Co., Ltd."
688826.SS,"Shanghai Precilasers Technology Co., Ltd."
601555.SS,"Soochow Securities Co., Ltd."
601108.SS,"Caitong Securities Co.,Ltd."
688188.SS,Shanghai BOCHU Electronic Technology Corporation Limited
600663.SS,"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd."
900932.SS,"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd."
600995.SS,"China Southern Power Grid Energy Storage Co., Ltd."
603260.SS,"Hoshine Silicon Industry Co., Ltd."
600968.SS,CNOOC Energy Technology & Services Limited
600869.SS,"Far East Smarter Energy Co., Ltd."
688027.SS,"QuantumCTek Co., Ltd."
601216.SS,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd."
600256.SS,"Guanghui Energy Co., Ltd."
603806.SS,"Hangzhou First Applied Material Co., Ltd."
688213.SS,"Smartsens Technology (Shanghai) Co., Ltd."
601136.SS,Capital Securities Corporation Limited
603392.SS,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd."
688336.SS,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd"
688728.SS,GalaxyCore Inc.
600021.SS,"Shanghai Electric Power Co., Ltd."
601577.SS,"Bank of Changsha Co., Ltd."
603175.SS,"Dynamic Electronics Co., Ltd."
688052.SS,"Suzhou Novosense Microelectronics Co., Ltd."
605376.SS,"Jiangsu Boqian New Materials Stock Co., Ltd."
688099.SS,"Amlogic (Shanghai) Co.,Ltd."
600901.SS,"Jiangsu Financial Leasing Co., Ltd."
601162.SS,"Tianfeng Securities Co., Ltd."
603650.SS,"Red Avenue New Materials Group Co., Ltd."
688220.SS,"ASR Microelectronics Co., Ltd."
600578.SS,"Beijing Jingneng Power Co., Ltd."
600143.SS,"Kingfa Sci. & Tech. Co., Ltd."
688303.SS,"Xinjiang Daqo New Energy Co.,Ltd."
688322.SS,Orbbec Inc.
688025.SS,"Shenzhen JPT Opto-Electronics Co., Ltd."
600863.SS,Inner Mongolia MengDian HuaNeng Thermal Power Corporation Limited
688472.SS,"CSI Solar Co., Ltd."
688781.SS,"Hefei SeeYa Technology Co., Ltd."
601777.SS,"Chongqing Afari Technology Co., Ltd."
601126.SS,"Beijing Sifang Automation Co.,Ltd"
